Energy / kT,Colloid height at energy barrier / lamD,R/l_D,Concentration / mM,Particle potential,Defect potential,Surface potential,Average surface potential,Defect density,Defect number,Half box width / m
0.08004580195585574,1.2,1.0,1.0,-0.5,0.0,-2.0,-1.9999999999999998,0.0,0.0,1.0206581945473193e-08
0.08225599010300885,1.0,1.0,1.0,-0.5,0.0,-1.5,-1.500000000000001,0.0,0.0,1.0206581945473193e-08
0.08520496531725351,0.7,1.0,1.0,-0.5,0.0,-1.0,-1.0000000000000004,0.0,0.0,1.0206581945473193e-08
0.08644907633705047,0.1,1.0,1.0,-0.5,0.0,-0.5,-0.5000000000000002,0.0,0.0,1.0206581945473193e-08
3.9946993780138755,0.1,3.0,0.1,-2.0,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.2986435069934512e-08
3.4827128216836183,0.1,3.0,0.1,-2.0,0.0,-1.5,-1.5,0.0,0.0,2.2986435069934512e-08
2.5113027088779916,0.1,3.0,0.1,-2.0,0.0,-1.0,-1.0000000000000002,0.0,0.0,2.2986435069934512e-08
1.0611971336772825,0.1,3.0,0.1,-2.0,0.0,-0.5,-0.5000000000000001,0.0,0.0,2.2986435069934512e-08
2.2391653446259587,0.1,3.0,0.1,-1.5,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.2986435069934512e-08
2.2497520631064516,0.1,3.0,0.1,-1.5,0.0,-1.5,-1.5,0.0,0.0,2.2986435069934512e-08
1.8108319642371995,0.1,3.0,0.1,-1.5,0.0,-1.0,-1.0000000000000002,0.0,0.0,2.2986435069934512e-08
0.9000998280268289,0.1,3.0,0.1,-1.5,0.0,-0.5,-0.5000000000000001,0.0,0.0,2.2986435069934512e-08
0.986271692103191,0.7,3.0,0.1,-1.0,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.2986435069934512e-08
1.0055904606019512,0.4,3.0,0.1,-1.0,0.0,-1.5,-1.5,0.0,0.0,2.2986435069934512e-08
1.0005255990251147,0.1,3.0,0.1,-1.0,0.0,-1.0,-1.0000000000000002,0.0,0.0,2.2986435069934512e-08
0.6299115391973437,0.1,3.0,0.1,-1.0,0.0,-0.5,-0.5000000000000001,0.0,0.0,2.2986435069934512e-08
0.23152841756359405,1.2,3.0,0.1,-0.5,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.2986435069934512e-08
0.23792722852082548,1.0,3.0,0.1,-0.5,0.0,-1.5,-1.5,0.0,0.0,2.2986435069934512e-08
0.24661234227794412,0.7,3.0,0.1,-0.5,0.0,-1.0,-1.0000000000000002,0.0,0.0,2.2986435069934512e-08
0.250202302481171,0.1,3.0,0.1,-0.5,0.0,-0.5,-0.5000000000000001,0.0,0.0,2.2986435069934512e-08
4.189807814729578,0.1,3.0,0.5,-2.0,0.0,-2.0,-2.0,0.0,0.0,1.5227179831574006e-08
3.5519940681311355,0.1,3.0,0.5,-2.0,0.0,-1.5,-1.5000000000000022,0.0,0.0,1.5227179831574006e-08
2.435580181970576,0.1,3.0,0.5,-2.0,0.0,-1.0,-1.0,0.0,0.0,1.5227179831574006e-08
1.0045566368247685,0.4,3.0,0.5,-2.0,0.0,-0.5,-0.5,0.0,0.0,1.5227179831574006e-08
2.434709238894471,0.1,3.0,0.5,-1.5,0.0,-2.0,-2.0,0.0,0.0,1.5227179831574006e-08
2.3638992149100275,0.1,3.0,0.5,-1.5,0.0,-1.5,-1.5000000000000022,0.0,0.0,1.5227179831574006e-08
1.8263089853295136,0.1,3.0,0.5,-1.5,0.0,-1.0,-1.0,0.0,0.0,1.5227179831574006e-08
0.7965750719036925,0.1,3.0,0.5,-1.5,0.0,-0.5,-0.5,0.0,0.0,1.5227179831574006e-08
1.0479239953294037,0.7,3.0,0.5,-1.0,0.0,-2.0,-2.0,0.0,0.0,1.5227179831574006e-08
1.0706108296369983,0.4,3.0,0.5,-1.0,0.0,-1.5,-1.5000000000000022,0.0,0.0,1.5227179831574006e-08
1.0525977739505974,0.1,3.0,0.5,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.5227179831574006e-08
0.6119281718277946,0.1,3.0,0.5,-1.0,0.0,-0.5,-0.5,0.0,0.0,1.5227179831574006e-08
0.249474723960806,1.2,3.0,0.5,-0.5,0.0,-2.0,-2.0,0.0,0.0,1.5227179831574006e-08
0.2570360466608192,1.0,3.0,0.5,-0.5,0.0,-1.5,-1.5000000000000022,0.0,0.0,1.5227179831574006e-08
0.2632309479543214,0.7,3.0,0.5,-0.5,0.0,-1.0,-1.0,0.0,0.0,1.5227179831574006e-08
0.2634155678318153,0.1,3.0,0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,1.5227179831574006e-08
4.220919163283841,0.1,3.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,1.120658194547319e-08
3.509499576373685,0.1,3.0,1.0,-2.0,0.0,-1.5,-1.5000000000000004,0.0,0.0,1.120658194547319e-08
2.313984575540692,0.1,3.0,1.0,-2.0,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.120658194547319e-08
0.9208705823882757,0.4,3.0,1.0,-2.0,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.120658194547319e-08
2.507866821579555,0.1,3.0,1.0,-1.5,0.0,-2.0,-2.0,0.0,0.0,1.120658194547319e-08
2.384205451996542,0.1,3.0,1.0,-1.5,0.0,-1.5,-1.5000000000000004,0.0,0.0,1.120658194547319e-08
1.789065877329155,0.1,3.0,1.0,-1.5,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.120658194547319e-08
0.7462836524419736,0.4,3.0,1.0,-1.5,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.120658194547319e-08
1.070325610099961,0.4,3.0,1.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,1.120658194547319e-08
1.089531093079939,0.4,3.0,1.0,-1.0,0.0,-1.5,-1.5000000000000004,0.0,0.0,1.120658194547319e-08
1.0624886241047506,0.1,3.0,1.0,-1.0,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.120658194547319e-08
0.581789943230733,0.1,3.0,1.0,-1.0,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.120658194547319e-08
0.25584743376784774,1.2,3.0,1.0,-0.5,0.0,-2.0,-2.0,0.0,0.0,1.120658194547319e-08
0.2639232546220128,1.0,3.0,1.0,-0.5,0.0,-1.5,-1.5000000000000004,0.0,0.0,1.120658194547319e-08
0.26836034571499867,0.7,3.0,1.0,-0.5,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.120658194547319e-08
0.2660153352257987,0.1,3.0,1.0,-0.5,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.120658194547319e-08
6.595887242916753,0.1,5.0,0.1,-2.0,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.398643506993451e-08
5.622500822773408,0.1,5.0,0.1,-2.0,0.0,-1.5,-1.4999999999999987,0.0,0.0,2.398643506993451e-08
3.8645811327385977,0.1,5.0,0.1,-2.0,0.0,-1.0,-1.0,0.0,0.0,2.398643506993451e-08
1.5059987135213118,0.4,5.0,0.1,-2.0,0.0,-0.5,-0.5,0.0,0.0,2.398643506993451e-08
3.7767560320526643,0.1,5.0,0.1,-1.5,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.398643506993451e-08
3.7177076500160653,0.1,5.0,0.1,-1.5,0.0,-1.5,-1.4999999999999987,0.0,0.0,2.398643506993451e-08
2.8922183577002034,0.1,5.0,0.1,-1.5,0.0,-1.0,-1.0,0.0,0.0,2.398643506993451e-08
1.2602786351660094,0.1,5.0,0.1,-1.5,0.0,-0.5,-0.5,0.0,0.0,2.398643506993451e-08
1.641482535802629,0.7,5.0,0.1,-1.0,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.398643506993451e-08
1.6756724054778531,0.4,5.0,0.1,-1.0,0.0,-1.5,-1.4999999999999987,0.0,0.0,2.398643506993451e-08
1.6542473350118923,0.1,5.0,0.1,-1.0,0.0,-1.0,-1.0,0.0,0.0,2.398643506993451e-08
0.9698465959029243,0.1,5.0,0.1,-1.0,0.0,-0.5,-0.5,0.0,0.0,2.398643506993451e-08
0.3884269646095984,1.2,5.0,0.1,-0.5,0.0,-2.0,-1.9999999999999996,0.0,0.0,2.398643506993451e-08
0.3997652793882404,1.0,5.0,0.1,-0.5,0.0,-1.5,-1.4999999999999987,0.0,0.0,2.398643506993451e-08
0.41149456837214005,0.7,5.0,0.1,-0.5,0.0,-1.0,-1.0,0.0,0.0,2.398643506993451e-08
0.4138038979444985,0.1,5.0,0.1,-0.5,0.0,-0.5,-0.5,0.0,0.0,2.398643506993451e-08
7.061998225989367,0.1,5.0,0.5,-2.0,0.0,-2.0,-2.0,0.0,0.0,1.6227179831574005e-08
5.81240667179858,0.1,5.0,0.5,-2.0,0.0,-1.5,-1.5000000000000002,0.0,0.0,1.6227179831574005e-08
3.753337314428151,0.1,5.0,0.5,-2.0,0.0,-1.0,-1.0,0.0,0.0,1.6227179831574005e-08
1.4615574222866214,0.4,5.0,0.5,-2.0,0.0,-0.5,-0.5,0.0,0.0,1.6227179831574005e-08
4.245527113162381,0.1,5.0,0.5,-1.5,0.0,-2.0,-2.0,0.0,0.0,1.6227179831574005e-08
3.9915451999417857,0.1,5.0,0.5,-1.5,0.0,-1.5,-1.5000000000000002,0.0,0.0,1.6227179831574005e-08
2.9497048082612287,0.1,5.0,0.5,-1.5,0.0,-1.0,-1.0,0.0,0.0,1.6227179831574005e-08
1.2056005006844808,0.4,5.0,0.5,-1.5,0.0,-0.5,-0.5,0.0,0.0,1.6227179831574005e-08
1.822029398211971,0.4,5.0,0.5,-1.0,0.0,-2.0,-2.0,0.0,0.0,1.6227179831574005e-08
1.83305521912545,0.4,5.0,0.5,-1.0,0.0,-1.5,-1.5000000000000002,0.0,0.0,1.6227179831574005e-08
1.7795742622439712,0.1,5.0,0.5,-1.0,0.0,-1.0,-1.0,0.0,0.0,1.6227179831574005e-08
0.9439494969082483,0.1,5.0,0.5,-1.0,0.0,-0.5,-0.5,0.0,0.0,1.6227179831574005e-08
0.43233442207967354,1.2,5.0,0.5,-0.5,0.0,-2.0,-2.0,0.0,0.0,1.6227179831574005e-08
0.44618655613168157,1.0,5.0,0.5,-0.5,0.0,-1.5,-1.5000000000000002,0.0,0.0,1.6227179831574005e-08
0.4519734856268496,0.7,5.0,0.5,-0.5,0.0,-1.0,-1.0,0.0,0.0,1.6227179831574005e-08
0.44567002699698793,0.1,5.0,0.5,-0.5,0.0,-0.5,-0.5,0.0,0.0,1.6227179831574005e-08
7.122892160786055,0.1,5.0,1.0,-2.0,0.0,-2.0,-2.0,0.0,0.0,1.2206581945473193e-08
5.730597346767806,0.1,5.0,1.0,-2.0,0.0,-1.5,-1.4999999999999996,0.0,0.0,1.2206581945473193e-08
3.5268307075143204,0.1,5.0,1.0,-2.0,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.2206581945473193e-08
1.2972736185989848,0.4,5.0,1.0,-2.0,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.2206581945473193e-08
4.397336824396048,0.1,5.0,1.0,-1.5,0.0,-2.0,-2.0,0.0,0.0,1.2206581945473193e-08
4.032317766786067,0.1,5.0,1.0,-1.5,0.0,-1.5,-1.4999999999999996,0.0,0.0,1.2206581945473193e-08
2.878577245451312,0.1,5.0,1.0,-1.5,0.0,-1.0,-1.0000000000000002,0.0,0.0,1.2206581945473193e-08
1.1194357197594929,0.4,5.0,1.0,-1.5,0.0,-0.5,-0.5000000000000001,0.0,0.0,1.2206581945473193e-08
1.9115691071564025,0.4,5.0,1.0,-1.0,0.0,-2.0,-2.0,0.0,0.0,1.2206581945473193e-08
1.894974782227452,0.1,5.0,1.0,-1.0,0.0,-1.5,-1.4999999999999996,0.0,0.0,1.2206581945473193e-08
